MLPC,,,,LR,,,,SVM,,,,DTC,,,
Tiempo,Memoria ,Precisión,Error,Tiempo,Memoria ,Precisión,Error,Tiempo,Memoria ,Precisión,Error,Tiempo,Memoria ,Precisión,Error
20.09,254,84.146,15.854,13.39,262,84.274,15.726,16.53,413,84.077,15.923,14.28,288,84.195,15.805
13.85,357,84.146,15.854,7.57,311,84.274,15.726,10.89,341,84.077,15.923,8.68,220,84.195,15.805
13.14,383,84.146,15.854,6.81,376,84.274,15.726,10.5,487,84.077,15.923,8.45,307,84.195,15.805
13.25,240,84.146,15.854,7,242,84.274,15.726,10.59,276,84.077,15.923,8.65,366,84.195,15.805
13.48,536,84.146,15.854,7.33,255,84.274,15.726,10.81,267,84.077,15.923,9.16,480,84.195,15.805
13.79,293,84.146,15.854,7.62,255,84.274,15.726,10.99,280,84.077,15.923,9.64,498,84.195,15.805
14,284,84.146,15.854,8.06,287,84.274,15.726,11.22,290,84.077,15.923,9.72,474,84.195,15.805
14.43,332,84.146,15.854,8.31,396,84.274,15.726,11.5,343,84.077,15.923,10.11,388,84.195,15.805
14.96,527,84.146,15.854,8.65,308,84.274,15.726,11.94,379,84.077,15.923,10.64,257,84.195,15.805
15.42,453,84.146,15.854,9.48,304,84.274,15.726,12.84,438,84.077,15.923,11.05,495,84.195,15.805
,,,,,,,,,,,,,,,
Promedios,,,,,,,,,,,,,,,
Tiempo,Memoria,,,Tiempo,Memoria,,,Tiempo,Memoria,,,Tiempo,Memoria,,
14.641,365.9,,,8.422,299.6,,,11.781,351.4,,,10.038,377.3,,
